MODEL,AÇIKLAMA,LİSTE FİYATI
KBS-B-0100-V6,TEK SERPANTİNLİ BOYLER 100 LİTRE - BASIC 6 BAR,453.6
KBS-B-0160-V6,TEK SERPANTİNLİ BOYLER 160 LİTRE - BASIC 6 BAR,549.72
KBS-B-0200-V6,TEK SERPANTİNLİ BOYLER 200 LİTRE - BASIC 6 BAR,598.32
KBS-B-0300-0-V6,TEK SERPANTİNLİ BOYLER 300 LİTRE - BASIC 6 BAR,667.44
KBS-B-0500-V6,TEK SERPANTİNLİ BOYLER 500 LİTRE - BASIC 6 BAR,926.6400000000001
KBS-B-0800-V5.1,TEK SERPANTİNLİ BOYLER 800 LİTRE - BASIC 10 BAR,1493.64
KBS-B-1000-V5.1,TEK SERPANTİNLİ BOYLER 1000 LİTRE - BASIC 10 BAR,1612.44
KBS-B-1500-V5.1,TEK SERPANTİNLİ BOYLER 1500 LİTRE - BASIC 10 BAR,2266.92
KBS-B-2000-V5.1,TEK SERPANTİNLİ BOYLER 2000 LİTRE - BASIC 10 BAR,3359.88
KBS-B-2500-V5.1,TEK SERPANTİNLİ BOYLER 2500 LİTRE - BASIC 10 BAR,4883.76
KBS-B-3000-V5.1,TEK SERPANTİNLİ BOYLER 3000 LİTRE - BASIC 10 BAR,5717.52
KBD-B-0160-V5,ÇİFT SERPANTİNLİ BOYLER 160 LİTRE - BASIC 6 BAR,617.76
KBD-B-0200-V5,ÇİFT SERPANTİNLİ BOYLER 200 LİTRE - BASIC 6 BAR,668.5200000000001
KBD-B-0300-0-V5,ÇİFT SERPANTİNLİ BOYLER 300 LİTRE - BASIC 6 BAR,747.36
KBD-B-0500-V5,ÇİFT SERPANTİNLİ BOYLER 500 LİTRE - BASIC 6 BAR,1051.92
KBD-B-0800-V5.1,ÇİFT SERPANTİNLİ BOYLER 800 LİTRE - BASIC 10 BAR,1721.5200000000002
KBD-B-1000-V5.1,ÇİFT SERPANTİNLİ BOYLER 1000 LİTRE - BASIC 10 BAR,1855.44
KBD-B-1500-V5.1,ÇİFT SERPANTİNLİ BOYLER 1500 LİTRE - BASIC 10 BAR,2529.36
KBD-B-2000-V5.1,ÇİFT SERPANTİNLİ BOYLER 2000 LİTRE - BASIC 10 BAR,3651.48
KBD-B-2500-V5.1,ÇİFT SERPANTİNLİ BOYLER 2500 LİTRE - BASIC 10 BAR,5578.200000000001
KBD-B-3000-V5.1,ÇİFT SERPANTİNLİ BOYLER 3000 LİTRE - BASIC 10 BAR,7328.88
KAT-B-0100-V5,AKÜMÜLASYON TANKI 100 LİTRE - BASIC 6 BAR,415.8
KAT-B-0160-V5,AKÜMÜLASYON TANKI 160 LİTRE - BASIC 6 BAR,498.96000000000004
KAT-B-0200-V5,AKÜMÜLASYON TANKI 200 LİTRE - BASIC 6 BAR,519.48
